,Game,Free2Play,MOBA,Shooter,RPG,Strategy,Survival,Adventure,Turn-Based,MMO,Looter,Indie,PvP,PvE,Singleplayer,Multiplayer,Sandbox,Simulator
68,Rust,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1
69,Sniper Elite V2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1
70,Arma 2,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1
71,Chivalry Medieval Warfare,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
72,Dead Island,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0
73,Marvel Heroes 2015,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
74,Half-Life Blue Shift,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
75,Half-Life Opposing Force,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
76,Killing Floor,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
77,Don't Starve Together Beta,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0
78,APB Reloaded,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0
79,Team Fortress Classic,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
80,Clicker Heroes,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
81,Far Cry 3,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0
82,Tom Clancy's Ghost Recon Phantoms - EU,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
83,The Elder Scrolls V Skyrim - Dawnguard,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
84,Total War SHOGUN 2,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1
85,theHunter,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
86,BioShock,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
87,The Elder Scrolls V Skyrim - Hearthfire,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
88,The Elder Scrolls V Skyrim - Dragonborn,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
89,AdVenture Capitalist,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,Euro Truck Simulator 2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
91,The Binding of Isaac,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
92,Don't Starve,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0
93,XCOM Enemy Unknown,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0
94,Magicka Wizard Wars,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
95,FreeStyle2 Street Basketball,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
96,TERA,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0
97,Hitman Absolution,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1
98,Amnesia The Dark Descent,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0
99,Insurgency,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
